,NY_TAS
0,274.16516
1,273.3495
2,278.49994
3,281.71036
4,285.91364
5,291.59677
6,297.5113
7,296.45206
8,291.83472
9,288.38745
10,285.49854
11,280.1405
12,278.4245
13,273.14948
14,274.91522
15,280.8544
16,285.7299
17,292.63266
18,295.87515
19,296.33316
20,294.8415
21,289.09845
22,282.13773
23,279.41708
24,275.11826
25,277.5443
26,278.17532
27,281.43945
28,288.59625
29,292.0888
30,295.50497
31,295.93478
32,294.17996
33,286.74915
34,283.9097
35,282.11935
36,277.2369
37,275.3409
38,276.29596
39,281.70044
40,288.98804
41,293.3181
42,295.5588
43,296.15048
44,292.45068
45,286.9655
46,282.64526
47,281.671
48,275.42566
49,275.32205
50,275.70267
51,280.51895
52,285.68887
53,292.92126
54,296.72702
55,296.52213
56,290.56076
57,286.50513
58,284.94943
59,278.62784
