Num Of Trading Min,OrderType,LastBuyScore,Position Num of Buys,Position Current Price Real,Position Current Price 10 Min avg,Security Trade Signal,Security Trade Signal Reason,Security Trade Score,Opp Security,Opp Security Trade Score,BuyReason,Open Price,Previous Closing Price,Short MAVG 5,Long MAVG 13,Short MAVG Min,Long MAVG Min,MAVG Min Diff,ATR Stoploss Range,ATR Stoploss,Slope 15 Min,Slope 15 Min Win Diff,RSI,Previous Day RSI,RSI Slope,RSI Gain Percent,Last AB Pattern,Last AB Date,Last AB Age,Last AB Stop-Loss Level,Last AB Total Net,Last AB Net Age Ratio,Last Confirmation Age,Last Confirmed Signal,Last Confirmed AB Confirmation Level,Last Confirmed AB Confirmation Date,Last Confirmed AB Age,Last Confirmed AB Total Net,Position Amount,Position Cost Basis,Position Gain Loss,Position Gain Loss Percent,Position Last Buy DT,Position Num of Days Held,Position Gain Avg Per Day,Position Held Max High,Position Held Max Gain,Position Held Max Gain Percent,Position Held Max Gain Loss Ratio,Position Day High,Position Day High Gain Loss Percent,Position Day High Trail Percent,Position Day Slope High,Position Day Slope Trail,Daily Current Gain Loss Percent,Daily Max Gain Percent,Daily Max Gain Loss Ratio,Daily Max Loss Percent,Daily Max Loss Ratio,Daily Current Gain Loss Percent From Open,Daily Max Gain Percent From Open,Daily Max Gain Loss Ratio From Open,Daily Current Gain Loss Diff From Open Close,Position Trailing Stop,Position Trailing Percent,Position Trailing Loss Percent,Position Last Sell DT,Position Num of Days Since Last Sell,Opp Pos Num of Days Since Last Buy,Opp Pos Num of Days Since Last Sell
101,0,False,1,41.45,41.355,0,4,-2.787551936,1,3.808028443,4,40.5,40.95,40.465,40.92884615,41.15423333,41.06658333,0.08765,1.21242826,39.28757174,25.72212977,9.505878424,57.43667306,57.90499422,-0.4683211664,-0.8087750852,22,0,3,39.95,9,3.0,100,0,40.73,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,1.221001221,1.221001221,0.0,-1.587301587,4.457623505,2.31990232,1.221001221,-1.341759584,1.098901099,0,0,0,0,1.0,100,100
29,0,False,1,40.975,40.9585,0,4,10.43257202,1,-10.07578824,4,40.65,40.25,40.69,40.80384615,40.65803333,40.5181,0.1399333333,1.159937058,39.49006294,44.06146295,38.89483934,48.37982927,37.37802648,11.00180279,29.43387821,0,1,2,41.8,6,3.0,100,2,40.37,1,3,6,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,1.801242236,2.111801242,0.6558388951,0.3726708075,-0.5323868678,0.8074534161,2.111801242,2.754523359,-0.9937888199,0,0,0,1,3.0,2,2
149,0,False,1,41.736,41.5695,0,11,31.74764336,1,-30.26559524,11,41.1,40.2,40.73,40.81153846,41.46713333,41.33641667,0.1307166667,1.267276049,39.83272395,15.91499144,11.13253677,60.77541724,28.62008157,32.15533566,112.3523551,0,1,3,41.8,6,2.0,100,2,40.37,1,4,6,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0.0,0,3.820895522,3.855721393,0.1342788545,1.512437811,-3.491398728,1.582089552,3.855721393,8.766490928,-2.23880597,0,0,0,3,1.0,3,3
293,0,False,1,41.55,41.6685,0,4,9.218459473,1,-9.588147716,4,41.5,41.3,40.735,40.76730769,41.44753333,41.4671,-0.01956666667,1.254490674,40.24550933,41.31233477,41.69967332,64.3339571,54.95395916,9.379997935,17.06883012,33,2,1,41.8,4,4.0,100,2,40.37,1,5,6,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0.0,0,0.6053268765,1.452784504,1.231173308,-0.8474576271,1.231173308,0.1210653753,1.452784504,1.934700913,-0.4842615012,0,0,0,4,1.0,4,4
307,0,False,1,66.78,66.842,0,6,-5.967798799,0,5.20910854,6,66.55,66.885,67.781,67.78884615,66.5693,66.6136,-0.0443,1.996509594,64.55349041,36.40254597,47.72222806,38.86639229,44.79496032,-5.92856803,-13.23489961,15,2,1,66.12,3,3.0,100,0,68.46,1,5,8,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,0,-0.1569858713,0.7101741796,0.6158346777,-1.517530089,2.064666788,0.3438738133,0.7101741796,0.2601370621,0.5008596845,0,0,0,2,4.0,0,0
369,0,True,2,41.923,41.924,0,4,13.70181116,1,-13.41055287,4,41.5,41.3,40.735,40.76730769,41.64396667,41.53701667,0.10695,1.254490674,40.24550933,34.43181109,23.66867243,68.81730878,54.95395916,13.86334962,25.22720807,33,2,1,41.8,4,4.0,100,2,40.37,1,5,6,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0.0,0,1.508474576,1.694915254,0.3160011491,-0.8474576271,1.996552715,1.024213075,1.694915254,1.136783355,-0.4842615012,0,0,0,5,0.0,0,0
53,0,False,1,65.115,64.9925,0,6,-2.304925,0,-1.995048056,6,63.87,64.94,66.717,67.49807692,64.71956667,64.57538333,0.1441833333,2.097236707,61.77276329,26.72533823,-1.979977622,28.50316754,26.90270793,1.600459615,5.949065126,15,2,2,66.12,3,1.5,100,2,65.75,2,1,3,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0.0,0,0.2694795196,0.6082537727,0.2060607176,-1.870957807,4.004667927,1.917154296,0.6082537727,-0.7961436816,1.647674777,0,0,0,6,1.0,1,1
93,0,False,2,65.555,65.4275,0,6,3.168635516,0,-3.562560534,6,63.87,64.94,66.717,67.49807692,64.9145,64.91805,-0.00355,2.097236707,61.77276329,40.65366572,39.56133041,33.97672806,26.90270793,7.074020132,26.2948256,15,2,2,66.12,3,1.5,100,2,65.75,2,1,3,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0.0,0,0.9470280259,1.053279951,0.1119130222,-1.870957807,5.272332595,2.594702803,1.053279951,-1.623549785,1.647674777,0,0,0,8,0.0,1,1
23,0,True,1,67.205,67.09,0,6,4.192251906,0,-4.907623877,6,66.475,65.865,66.543,67.51307692,66.5096,66.34338333,0.1662166667,2.119444911,64.35555509,25.99922002,-15.74030961,46.39825617,37.35561965,9.042636522,24.2068974,32,3,1,63.725,8,8.0,100,2,65.75,2,2,3,0,0,0,0,9,0,0,0,0,0,0,0.0,0,0,0.0,0,2.034464435,2.148333713,0.2446292089,0.6452592424,-0.89639749,1.10832764,2.148333713,2.234280108,-0.926136795,0,0,0,9,1.0,2,2
21,0,True,1,69.405,69.4,0,4,8.306844802,0,-9.292200823,4,68.515,67.9,66.8808,67.70838462,68.83673333,68.39496667,0.4417666667,2.142778343,66.37222166,26.76787546,-33.57257602,64.25731459,51.81254671,12.44476788,24.01883071,32,3,2,63.725,8,4.0,100,0,66.838,3,3,8,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0.0,0,2.216494845,2.334315169,0.2750297696,0.88365243,-1.177769439,1.310751105,2.334315169,2.389321123,-0.9057437408,0,0,0,10,1.0,3,3
114,0,False,1,71.14,71.1375,0,4,3.06065357,0,0.2455245782,4,71.335,71.705,70.74,68.56038462,70.79193333,70.78928333,0.00265,1.998682215,69.33631778,31.59353853,25.92535405,67.27324135,75.1106647,-7.837423353,-10.43450139,16,4,2,71.97,4,2.0,100,0,66.838,3,6,8,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0.0,0,-0.7879506311,0.06973014434,0.05980620427,-2.070985287,2.657145895,-0.2719475629,0.06973014434,0.02382523585,0.5160030681,0,0,0,11,3.0,6,6
