,Security,TimeStamp,Num Of Trading Min,OrderType,LastBuyScore,LastSellScore,Position Num of Buys,Position Current Price Real,Position Current Price 10 Min avg,Security Trade Signal,Security Trade Signal Reason,Security Trade Score,Opp Security,Opp Security Trade Signal,Opp Security Trade Score,BuyReason,SellReason,Open Price,Previous Closing Price,Short MAVG 5,Long MAVG 13,Short MAVG Min,Long MAVG Min,MAVG Min Diff,ATR Stoploss Range,ATR Stoploss,Slope 15 Min,Slope 15 Min Win Diff,RSI,Previous Day RSI,RSI Slope,RSI Gain Percent,Last AB Pattern,Last AB Date,Last AB Age,Last AB Buy Level,Last AB Stop-Loss Level,Last AB Sell Level,Last AB Signal,Last AB Total Net,Last AB Net Age Ratio,Last Confirmation Level,Last Confirmation Date,Last Confirmation Age,Last Confirmed Signal,Last Confirmed AB Confirmation Level,Last Confirmed AB Confirmation Date,Last Confirmed AB Age,Last Confirmed AB Total Net,Position Amount,Position Cost Basis,Position Gain Loss,Position Gain Loss Percent,Position Last Buy DT,Position Num of Days Held,Position Gain Avg Per Day,Position Held Max High,Position Held Max Gain,Position Held Max Gain Percent,Position Held Max Gain Loss Ratio,Position Day High,Position Day High Gain Loss Percent,Position Day High Trail Percent,Position Day Slope High,Position Day Slope Trail,Daily Current Gain Loss Percent,Daily Max Gain Percent,Daily Max Gain Loss Ratio,Daily Max Loss Percent,Daily Max Loss Ratio,Daily Current Gain Loss Percent From Open,Daily Max Gain Percent From Open,Daily Max Gain Loss Ratio From Open,Daily Current Gain Loss Diff From Open Close,Position Trailing Stop,Position Trailing Percent,Position Trailing Loss Percent,Position Last Sell DT,Position Num of Days Since Last Sell,Opp Pos Num of Days Since Last Buy,Opp Pos Num of Days Since Last Sell,OrderId
0,SQQQ,2021-08-10 14:37:00+00:00,67,BUY,0.6212427795,,1,40.775,40.727,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'AB Intraday Buy Confirmed using Buy Level with Total Net >= 7', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",8.022415663,TQQQ,,-7.562166025,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'AB Intraday Buy Confirmed using Buy Level with Total Net >= 7', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,40.15,40.35,40.34,40.86923077,40.41676667,40.29611667,0.12065,1.188407115,38.96159288,36.20761894,24.98572333,55.28731141,44.6187419,10.66856951,23.91051171,BULLISH HARAMI,2021-08-06,2,40.5,39.95,,,9,4.5,,nan,100,SHORT,8.739,2021-07-21,20,6,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,1.053283767,1.36307311,0.4222655236,-0.7434944238,1.335894566,1.548946716,1.36307311,-0.2533593142,0.4956629492,0,0,0,,,100,100,578569918d214799b34b4ccda6bf3f47
2,SQQQ,2021-08-11 15:11:00+00:00,101,BUY,-0.7766460575,,1,41.45,41.355,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-2.787551936,TQQQ,,3.808028443,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,40.5,40.95,40.465,40.92884615,41.15423333,41.06658333,0.08765,1.21242826,39.28757174,25.72212977,9.505878424,57.43667306,57.90499422,-0.4683211664,-0.8087750852,BULLISH HARAMI,2021-08-06,3,40.5,39.95,,BUY,9,3,40.73,2021-08-10 0:00:00,100,BUY,40.73,2021-08-10,1,9,0,0,0,0,2021-08-10 14:38:00+00:00,0,0,0,0,0,0,0,0,0,0,0,1.221001221,1.221001221,0,-1.587301587,4.457623505,2.31990232,1.221001221,-1.341759584,1.098901099,0,0,0,2021-08-10 19:57:00+00:00,1,100,100,915b2a4319574d92bbc29beaf5b689d1
4,TQQQ,2021-08-12 14:26:00+00:00,56,BUY,1.318326188,,1,67.11,67.0175,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-2.684435569,SQQQ,,5.843450274,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,66.905,67.19,67.651,67.39923077,66.6327,66.62938333,0.003316666667,1.869735748,65.03526425,35.14085367,31.98899638,42.80817869,46.75146041,-3.943281723,-8.43456373,BEARISH ENGULFING,2021-08-10,2,,69.055,67.555,SELL,5,2.5,67.19,2021-08-11 0:00:00,100,SELL,67.19,2021-08-11,1,5,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,-0.1190653371,-0.05953266855,-0.003544138625,-1.592498884,2.346441278,0.3051049263,-0.05953266855,0.02170784908,0.4241702634,0,0,0,,,1,1,0a623f13308549c9abcfe85ed7f165d8
6,SQQQ,2021-08-16 13:59:00+00:00,29,BUY,-0.7762449854,,1,40.975,40.9585,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",10.43257202,TQQQ,,-10.07578824,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,40.65,40.25,40.69,40.80384615,40.65803333,40.5181,0.1399333333,1.159937058,39.49006294,44.06146295,38.89483934,48.37982927,37.37802648,11.00180279,29.43387821,BEARISH DARK CLOUD COVER,2021-08-12,2,,41.8,40.65,SHORT,6,3,40.37,2021-08-13 0:00:00,100,SHORT,40.37,2021-08-13,3,6,0,0,0,0,2021-08-11 15:12:00+00:00,0,0,0,0,0,0,0,0,0,0,0,1.801242236,2.111801242,0.6558388951,0.3726708075,-0.5323868678,0.8074534161,2.111801242,2.754523359,-0.9937888199,0,0,0,2021-08-11 17:04:00+00:00,3,2,2,06da622ffbba4d409c32a4c77544f66e
8,SQQQ,2021-08-17 15:59:00+00:00,149,BUY,-0.8304032318,,1,41.736,41.5695,BUY,"['Buy Method 5: Bearish Short Mavg Min > Long Mavg Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",31.74764336,TQQQ,,-30.26559524,"['Buy Method 5: Bearish Short Mavg Min > Long Mavg Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,41.1,40.2,40.73,40.81153846,41.46713333,41.33641667,0.1307166667,1.267276049,39.83272395,15.91499144,11.13253677,60.77541724,28.62008157,32.15533566,112.3523551,BEARISH DARK CLOUD COVER,2021-08-12,3,,41.8,40.65,SHORT,6,2,40.37,2021-08-13 0:00:00,100,SHORT,40.37,2021-08-13,4,6,0,0,0,0,2021-08-16 14:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,3.820895522,3.855721393,0.1342788545,1.512437811,-3.491398728,1.582089552,3.855721393,8.766490928,-2.23880597,0,0,0,2021-08-16 17:49:00+00:00,1,3,3,1ca8e529d6a046d4993b4445a9944033
10,SQQQ,2021-08-18 18:23:00+00:00,293,BUY,-0.7731525306,,1,41.55,41.6685,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",9.218459473,TQQQ,,-9.588147716,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,41.5,41.3,40.735,40.76730769,41.44753333,41.4671,-0.01956666667,1.254490674,40.24550933,41.31233477,41.69967332,64.3339571,54.95395916,9.379997935,17.06883012,BULLISH STOP LOSS,2021-08-17,1,,41.8,,,4,4,,nan,100,SHORT,40.37,2021-08-13,5,6,0,0,0,0,2021-08-17 16:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0.6053268765,1.452784504,1.231173308,-0.8474576271,1.231173308,0.1210653753,1.452784504,1.934700913,-0.4842615012,0,0,0,2021-08-17 19:00:00+00:00,1,4,4,7fe6562bf970427b8d321c0765f533fb
12,TQQQ,2021-08-18 18:37:00+00:00,307,BUY,-0.7521291462,,1,66.78,66.842,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-5.967798799,SQQQ,,5.20910854,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,66.55,66.885,67.781,67.78884615,66.5693,66.6136,-0.0443,1.996509594,64.55349041,36.40254597,47.72222806,38.86639229,44.79496032,-5.92856803,-13.23489961,BEARISH STOP LOSS,2021-08-17,1,,66.12,,,3,3,,nan,100,BUY,68.46,2021-08-13,5,8,0,0,0,0,2021-08-12 14:27:00+00:00,0,0,0,0,0,0,0,0,0,0,0,-0.1569858713,0.7101741796,0.6158346777,-1.517530089,2.064666788,0.3438738133,0.7101741796,0.2601370621,0.5008596845,0,0,0,2021-08-12 19:57:00+00:00,4,0,0,c4edf61ba1fa47dea14b3ee39ad26389
14,SQQQ,2021-08-18 19:39:00+00:00,369,BUY,1.110569776,,2,41.923,41.924,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",13.70181116,TQQQ,,-13.41055287,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,41.5,41.3,40.735,40.76730769,41.64396667,41.53701667,0.10695,1.254490674,40.24550933,34.43181109,23.66867243,68.81730878,54.95395916,13.86334962,25.22720807,BULLISH STOP LOSS,2021-08-17,1,,41.8,,,4,4,,nan,100,SHORT,40.37,2021-08-13,5,6,0,0,0,0,2021-08-18 18:24:00+00:00,0,0,0,0,0,0,0,0,0,0,0,1.508474576,1.694915254,0.3160011491,-0.8474576271,1.996552715,1.024213075,1.694915254,1.136783355,-0.4842615012,0,0,0,2021-08-18 18:31:00+00:00,0,0,0,82a2d197cbe94365b5a7236523b6bb86
16,TQQQ,2021-08-19 14:23:00+00:00,53,BUY,-0.8274367438,,1,65.115,64.9925,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-2.304925,SQQQ,,-1.995048056,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,63.87,64.94,66.717,67.49807692,64.71956667,64.57538333,0.1441833333,2.097236707,61.77276329,26.72533823,-1.979977622,28.50316754,26.90270793,1.600459615,5.949065126,BEARISH STOP LOSS,2021-08-17,2,,66.12,,SHORT,3,1.5,65.75,2021-08-18 0:00:00,100,SHORT,65.75,2021-08-18,1,3,0,0,0,0,2021-08-18 18:38:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0.2694795196,0.6082537727,0.2060607176,-1.870957807,4.004667927,1.917154296,0.6082537727,-0.7961436816,1.647674777,0,0,0,2021-08-18 19:30:00+00:00,1,1,1,ed79a682babf4a3d808b401537bc00a9
18,TQQQ,2021-08-19 15:03:00+00:00,93,BUY,-0.8901210703,,2,65.555,65.4275,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",3.168635516,SQQQ,,-3.562560534,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,63.87,64.94,66.717,67.49807692,64.9145,64.91805,-0.00355,2.097236707,61.77276329,40.65366572,39.56133041,33.97672806,26.90270793,7.074020132,26.2948256,BEARISH STOP LOSS,2021-08-17,2,,66.12,,SHORT,3,1.5,65.75,2021-08-18 0:00:00,100,SHORT,65.75,2021-08-18,1,3,0,0,0,0,2021-08-19 14:24:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0.9470280259,1.053279951,0.1119130222,-1.870957807,5.272332595,2.594702803,1.053279951,-1.623549785,1.647674777,0,0,0,2021-08-19 14:50:00+00:00,0,1,1,d246f008dc6c40fdb47700a0304afc6a
