Num Of Trading Min,LastBuyScore,Position Num of Buys,Position Current Price Real,Position Current Price 10 Min avg,Security Trade Signal,Security Trade Signal Reason,Security Trade Score,Opp Security,Opp Security Trade Score,BuyReason,Open Price,Previous Closing Price,Short MAVG 5,Long MAVG 13,Short MAVG Min,Long MAVG Min,MAVG Min Diff,ATR Stoploss Range,ATR Stoploss,Slope 15 Min,Slope 15 Min Win Diff,RSI,Previous Day RSI,RSI Slope,RSI Gain Percent,Last AB Pattern,Last AB Age,Last AB Stop-Loss Level,Last AB Total Net,Last AB Net Age Ratio,Last Confirmed Signal,Last Confirmed AB Confirmation Level,Last Confirmed AB Age,Last Confirmed AB Total Net,Position Last Buy DT,Position Day Slope High,Daily Current Gain Loss Percent,Daily Max Gain Percent,Daily Max Gain Loss Ratio,Daily Max Loss Percent,Daily Max Loss Ratio,Daily Current Gain Loss Percent From Open,Daily Max Gain Percent From Open,Daily Max Gain Loss Ratio From Open,Daily Current Gain Loss Diff From Open Close,Position Last Sell DT,Position Num of Days Since Last Sell,Opp Pos Num of Days Since Last Buy,Opp Pos Num of Days Since Last Sell
307,-0.7521291462,1,66.78,66.842,0,6,-5.967798799,0,5.20910854,6,66.55,66.885,67.781,67.78884615,66.5693,66.6136,-0.0443,1.996509594,64.55349041,36.40254597,47.72222806,38.86639229,44.79496032,-5.92856803,-13.23489961,11,1,66.12,3,3.0,0,68.46,5,8,0,0.0,-0.1569858713,0.7101741796,0.6158346777,-1.517530089,2.064666788,0.3438738133,0.7101741796,0.2601370621,0.5008596845,0,4.0,0,0
53,-0.8274367438,1,65.115,64.9925,0,6,-2.304925,0,-1.995048056,6,63.87,64.94,66.717,67.49807692,64.71956667,64.57538333,0.1441833333,2.097236707,61.77276329,26.72533823,-1.979977622,28.50316754,26.90270793,1.600459615,5.949065126,11,2,66.12,3,1.5,2,65.75,1,3,1,0.0,0.2694795196,0.6082537727,0.2060607176,-1.870957807,4.004667927,1.917154296,0.6082537727,-0.7961436816,1.647674777,1,1.0,1,1
93,-0.8901210703,2,65.555,65.4275,0,6,3.168635516,0,-3.562560534,6,63.87,64.94,66.717,67.49807692,64.9145,64.91805,-0.00355,2.097236707,61.77276329,40.65366572,39.56133041,33.97672806,26.90270793,7.074020132,26.2948256,11,2,66.12,3,1.5,2,65.75,1,3,2,0.0,0.9470280259,1.053279951,0.1119130222,-1.870957807,5.272332595,2.594702803,1.053279951,-1.623549785,1.647674777,2,0.0,1,1
23,1.049422529,1,67.205,67.09,0,6,4.192251906,0,-4.907623877,6,66.475,65.865,66.543,67.51307692,66.5096,66.34338333,0.1662166667,2.119444911,64.35555509,25.99922002,-15.74030961,46.39825617,37.35561965,9.042636522,24.2068974,26,1,63.725,8,8.0,2,65.75,2,3,3,0.0,2.034464435,2.148333713,0.2446292089,0.6452592424,-0.89639749,1.10832764,2.148333713,2.234280108,-0.926136795,3,1.0,2,2
21,2.056933277,1,69.405,69.4,0,4,8.306844802,0,-9.292200823,4,68.515,67.9,66.8808,67.70838462,68.83673333,68.39496667,0.4417666667,2.142778343,66.37222166,26.76787546,-33.57257602,64.25731459,51.81254671,12.44476788,24.01883071,26,2,63.725,8,4.0,0,66.838,3,8,4,0.0,2.216494845,2.334315169,0.2750297696,0.88365243,-1.177769439,1.310751105,2.334315169,2.389321123,-0.9057437408,4,1.0,3,3
114,-0.776361448,1,71.14,71.1375,0,4,3.06065357,0,0.2455245782,4,71.335,71.705,70.74,68.56038462,70.79193333,70.78928333,0.00265,1.998682215,69.33631778,31.59353853,25.92535405,67.27324135,75.1106647,-7.837423353,-10.43450139,12,2,71.97,4,2.0,0,66.838,6,8,5,0.0,-0.7879506311,0.06973014434,0.05980620427,-2.070985287,2.657145895,-0.2719475629,0.06973014434,0.02382523585,0.5160030681,5,3.0,6,6
40,0.8632746478,1,71.745,71.5775,0,4,16.11892546,0,-10.0498511,4,70.845,70.49,71.173,68.75346154,71.0911,70.91965,0.17145,2.000192166,68.84480783,31.19093071,28.56699439,65.0309728,61.00973965,4.02123315,6.59113311,12,3,71.97,4,1.333333333,1,70.939,1,4,6,0.0,1.780394382,1.908072067,0.2436182239,0.1134912754,-0.1891789595,1.276776848,1.908072067,1.204556774,-0.5036175344,6,1.0,7,7
37,-0.07773604454,1,75.585,75.627,0,4,16.77768097,0,-9.56904885,4,74.35,75.05,74.9416,71.59292308,75.04163333,74.93246667,0.1091666667,1.953344994,72.39665501,43.82202746,38.1600384,88.08361529,88.04931893,0.03429635121,0.03895129642,5,3,75.26,11,3.666666667,0,73.4,4,7,7,0.0,0.7128580946,1.199200533,0.5832221113,-0.9593604264,1.604260273,1.64556962,1.199200533,-0.5352860474,0.9327115257,7,5.0,12,12
84,-0.9695184247,1,72.405,72.5425,0,4,6.016836383,0,-6.63491342,4,74.145,72.775,74.533,74.08,72.14846667,72.16251667,-0.01405,2.021677279,72.12332272,25.19642874,12.91636924,45.05067036,41.29883398,3.751836383,9.084606081,5,8,75.26,11,1.375,1,73.884,3,11,8,0.0,-0.5084163518,2.219168671,6.052971228,-1.642047406,1.861475933,-2.390930952,2.219168671,10.23058865,-1.8825146,8,5.0,0,0
272,0.6176242896,1,73.185,73.19,0,6,-10.54082064,0,7.700178683,6,72.775,73.58,72.734,74.23384615,72.75173333,72.67928333,0.07245,2.102332903,70.6726671,32.34846166,23.67011661,43.93576965,46.97735952,-3.041589866,-6.474586689,24,1,70.8825,12,12.0,1,73.884,6,11,9,0.0,-0.5368306605,-0.4552867627,-0.03712585725,-2.663767328,5.665664404,0.557216635,-0.4552867627,0.4609793942,1.094047295,9,3.0,0,0
21,-0.8507947832,1,68.19,68.0825,0,6,-0.8039370604,0,-8.302365427,6,67.69,66.745,70.475,72.78923077,67.2563,66.22145,1.03485,2.506268264,65.18373174,47.75184851,-14.63620077,25.48815099,14.7209342,10.76721679,73.14221121,9,2,73.465,43,21.5,2,67.315,1,43,10,0.0,2.164956176,2.442130497,0.6768958602,0.38205109,-0.6811608316,0.7491197843,2.442130497,4.134553092,-1.415836392,10,3.0,1,1
104,-0.8129515692,2,67.49,67.23,0,6,-6.727547258,0,0.08164507049,6,67.69,66.745,70.475,72.78923077,66.78333333,66.93666667,-0.1533333333,2.506268264,65.18373174,41.41130529,59.87975527,19.56454079,14.7209342,4.843606588,32.90284789,9,2,73.465,43,21.5,2,67.315,1,43,11,0.0,1.116188479,2.442130497,3.238123439,-0.6742078058,1.20709915,-0.2996479137,2.442130497,6.695780671,-1.415836392,11,0.0,0,0
35,1.317007054,1,67.87,67.66,0,6,-5.475915056,0,-1.63665889,6,67.43,66.83,69.107,72.15,67.26003333,67.29768333,-0.03765,2.450073406,64.97992659,38.82638648,24.84891558,22.78595776,13.04687282,9.739084944,74.64689111,18,1,64.0,3,3.0,2,67.315,2,43,12,0.0,1.556187341,1.758192429,0.3551638154,-0.03740834954,0.05961378462,0.658386952,1.758192429,1.933669662,-0.897800389,12,1.0,1,1
300,-0.7506316063,1,64.245,64.0155,0,6,-23.22701826,0,21.60507287,6,66.57,69.185,69.272,70.44076923,63.60346667,63.6661,-0.06263333333,2.647987071,63.92201293,47.75778661,37.12833355,23.66318104,41.04635314,-17.3831721,-42.35010123,18,5,64.0,3,0.6,0,67.802,6,3,13,0.0,-7.140276071,-3.237696032,-12.63536791,-8.889210089,15.54664191,-3.360555034,-3.237696032,-0.3977801008,3.779721038,13,4.0,0,0
