,Security,TimeStamp,Num Of Trading Min,OrderType,LastBuyScore,LastSellScore,Position Num of Buys,Position Current Price Real,Position Current Price 10 Min avg,Security Trade Signal,Security Trade Signal Reason,Security Trade Score,Opp Security,Opp Security Trade Signal,Opp Security Trade Score,BuyReason,SellReason,Open Price,Previous Closing Price,Short MAVG 5,Long MAVG 13,Short MAVG Min,Long MAVG Min,MAVG Min Diff,ATR Stoploss Range,ATR Stoploss,Slope 15 Min,Slope 15 Min Win Diff,RSI,Previous Day RSI,RSI Slope,RSI Gain Percent,Last AB Pattern,Last AB Date,Last AB Age,Last AB Buy Level,Last AB Stop-Loss Level,Last AB Sell Level,Last AB Signal,Last AB Total Net,Last AB Net Age Ratio,Last Confirmation Level,Last Confirmation Date,Last Confirmation Age,Last Confirmed Signal,Last Confirmed AB Confirmation Level,Last Confirmed AB Confirmation Date,Last Confirmed AB Age,Last Confirmed AB Total Net,Position Amount,Position Cost Basis,Position Gain Loss,Position Gain Loss Percent,Position Last Buy DT,Position Num of Days Held,Position Gain Avg Per Day,Position Held Max High,Position Held Max Gain,Position Held Max Gain Percent,Position Held Max Gain Loss Ratio,Position Day High,Position Day High Gain Loss Percent,Position Day High Trail Percent,Position Day Slope High,Position Day Slope Trail,Daily Current Gain Loss Percent,Daily Max Gain Percent,Daily Max Gain Loss Ratio,Daily Max Loss Percent,Daily Max Loss Ratio,Daily Current Gain Loss Percent From Open,Daily Max Gain Percent From Open,Daily Max Gain Loss Ratio From Open,Daily Current Gain Loss Diff From Open Close,Position Trailing Stop,Position Trailing Percent,Position Trailing Loss Percent,Position Last Sell DT,Position Num of Days Since Last Sell,Opp Pos Num of Days Since Last Buy,Opp Pos Num of Days Since Last Sell,OrderId
4,TQQQ,2021-08-12 14:26:00+00:00,56,BUY,1.318326188,,1,67.11,67.0175,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-2.684435569,SQQQ,,5.843450274,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,66.905,67.19,67.651,67.39923077,66.6327,66.62938333,0.003316666667,1.869735748,65.03526425,35.14085367,31.98899638,42.80817869,46.75146041,-3.943281723,-8.43456373,BEARISH ENGULFING,2021-08-10,2,,69.055,67.555,SELL,5,2.5,67.19,2021-08-11 0:00:00,100,SELL,67.19,2021-08-11,1,5,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,-0.1190653371,-0.05953266855,-0.003544138625,-1.592498884,2.346441278,0.3051049263,-0.05953266855,0.02170784908,0.4241702634,0,0,0,,,1,1,0a623f13308549c9abcfe85ed7f165d8
12,TQQQ,2021-08-18 18:37:00+00:00,307,BUY,-0.7521291462,,1,66.78,66.842,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-5.967798799,SQQQ,,5.20910854,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,66.55,66.885,67.781,67.78884615,66.5693,66.6136,-0.0443,1.996509594,64.55349041,36.40254597,47.72222806,38.86639229,44.79496032,-5.92856803,-13.23489961,BEARISH STOP LOSS,2021-08-17,1,,66.12,,,3,3,,nan,100,BUY,68.46,2021-08-13,5,8,0,0,0,0,2021-08-12 14:27:00+00:00,0,0,0,0,0,0,0,0,0,0,0,-0.1569858713,0.7101741796,0.6158346777,-1.517530089,2.064666788,0.3438738133,0.7101741796,0.2601370621,0.5008596845,0,0,0,2021-08-12 19:57:00+00:00,4,0,0,c4edf61ba1fa47dea14b3ee39ad26389
16,TQQQ,2021-08-19 14:23:00+00:00,53,BUY,-0.8274367438,,1,65.115,64.9925,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-2.304925,SQQQ,,-1.995048056,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,63.87,64.94,66.717,67.49807692,64.71956667,64.57538333,0.1441833333,2.097236707,61.77276329,26.72533823,-1.979977622,28.50316754,26.90270793,1.600459615,5.949065126,BEARISH STOP LOSS,2021-08-17,2,,66.12,,SHORT,3,1.5,65.75,2021-08-18 0:00:00,100,SHORT,65.75,2021-08-18,1,3,0,0,0,0,2021-08-18 18:38:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0.2694795196,0.6082537727,0.2060607176,-1.870957807,4.004667927,1.917154296,0.6082537727,-0.7961436816,1.647674777,0,0,0,2021-08-18 19:30:00+00:00,1,1,1,ed79a682babf4a3d808b401537bc00a9
18,TQQQ,2021-08-19 15:03:00+00:00,93,BUY,-0.8901210703,,2,65.555,65.4275,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",3.168635516,SQQQ,,-3.562560534,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,63.87,64.94,66.717,67.49807692,64.9145,64.91805,-0.00355,2.097236707,61.77276329,40.65366572,39.56133041,33.97672806,26.90270793,7.074020132,26.2948256,BEARISH STOP LOSS,2021-08-17,2,,66.12,,SHORT,3,1.5,65.75,2021-08-18 0:00:00,100,SHORT,65.75,2021-08-18,1,3,0,0,0,0,2021-08-19 14:24:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0.9470280259,1.053279951,0.1119130222,-1.870957807,5.272332595,2.594702803,1.053279951,-1.623549785,1.647674777,0,0,0,2021-08-19 14:50:00+00:00,0,1,1,d246f008dc6c40fdb47700a0304afc6a
20,TQQQ,2021-08-20 13:53:00+00:00,23,BUY,1.049422529,,1,67.205,67.09,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",4.192251906,SQQQ,,-4.907623877,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,66.475,65.865,66.543,67.51307692,66.5096,66.34338333,0.1662166667,2.119444911,64.35555509,25.99922002,-15.74030961,46.39825617,37.35561965,9.042636522,24.2068974,BULLISH PIERCING LINE,2021-08-19,1,65.865,63.725,,,8,8,,nan,100,SHORT,65.75,2021-08-18,2,3,0,0,0,0,2021-08-19 15:04:00+00:00,0,0,0,0,0,0,0,0,0,0,0,2.034464435,2.148333713,0.2446292089,0.6452592424,-0.89639749,1.10832764,2.148333713,2.234280108,-0.926136795,0,0,0,2021-08-19 18:32:00+00:00,1,2,2,73130d856c3b4d20997d1bc6f80bb704
22,TQQQ,2021-08-23 13:51:00+00:00,21,BUY,2.056933277,,1,69.405,69.4,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",8.306844802,SQQQ,,-9.292200823,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,68.515,67.9,66.8808,67.70838462,68.83673333,68.39496667,0.4417666667,2.142778343,66.37222166,26.76787546,-33.57257602,64.25731459,51.81254671,12.44476788,24.01883071,BULLISH PIERCING LINE,2021-08-19,2,65.865,63.725,,BUY,8,4,66.838,2021-08-20 0:00:00,100,BUY,66.838,2021-08-20,3,8,0,0,0,0,2021-08-20 13:54:00+00:00,0,0,0,0,0,0,0,0,0,0,0,2.216494845,2.334315169,0.2750297696,0.88365243,-1.177769439,1.310751105,2.334315169,2.389321123,-0.9057437408,0,0,0,2021-08-20 19:57:00+00:00,1,3,3,b34183a13ac3402aaee9adcbfc32bcc1
24,TQQQ,2021-08-26 15:24:00+00:00,114,BUY,-0.776361448,,1,71.14,71.1375,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",3.06065357,SQQQ,,0.2455245782,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,71.335,71.705,70.74,68.56038462,70.79193333,70.78928333,0.00265,1.998682215,69.33631778,31.59353853,25.92535405,67.27324135,75.1106647,-7.837423353,-10.43450139,BEARISH THREE GAP UPS,2021-08-24,2,,71.97,71.465,,4,2,,nan,100,BUY,66.838,2021-08-20,6,8,0,0,0,0,2021-08-23 13:52:00+00:00,0,0,0,0,0,0,0,0,0,0,0,-0.7879506311,0.06973014434,0.05980620427,-2.070985287,2.657145895,-0.2719475629,0.06973014434,0.02382523585,0.5160030681,0,0,0,2021-08-23 19:57:00+00:00,3,6,6,ab2b08dedf5540d7923142931dd0f9b4
26,TQQQ,2021-08-27 14:10:00+00:00,40,BUY,0.8632746478,,1,71.745,71.5775,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",16.11892546,SQQQ,,-10.0498511,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,70.845,70.49,71.173,68.75346154,71.0911,70.91965,0.17145,2.000192166,68.84480783,31.19093071,28.56699439,65.0309728,61.00973965,4.02123315,6.59113311,BEARISH THREE GAP UPS,2021-08-24,3,,71.97,71.465,SELL,4,1.333333333,70.939,2021-08-26 0:00:00,100,SELL,70.939,2021-08-26,1,4,0,0,0,0,2021-08-26 15:25:00+00:00,0,0,0,0,0,0,0,0,0,0,0,1.780394382,1.908072067,0.2436182239,0.1134912754,-0.1891789595,1.276776848,1.908072067,1.204556774,-0.5036175344,0,0,0,2021-08-26 19:08:00+00:00,1,7,7,f07e62b3c3a94ecbacb429b8c55b4b1f
28,TQQQ,2021-09-03 14:07:00+00:00,37,BUY,-0.07773604454,,1,75.585,75.627,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",16.77768097,SQQQ,,-9.56904885,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,74.35,75.05,74.9416,71.59292308,75.04163333,74.93246667,0.1091666667,1.953344994,72.39665501,43.82202746,38.1600384,88.08361529,88.04931893,0.03429635121,0.03895129642,BEARISH HANGING MAN,2021-08-31,3,,75.26,74.295,,11,3.666666667,,nan,100,BUY,73.4,2021-08-30,4,7,0,0,0,0,2021-08-27 14:11:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0.7128580946,1.199200533,0.5832221113,-0.9593604264,1.604260273,1.64556962,1.199200533,-0.5352860474,0.9327115257,0,0,0,2021-08-27 19:57:00+00:00,5,12,12,31439340af404005a59f747fe1bbe856
34,TQQQ,2021-09-13 14:54:00+00:00,84,BUY,-0.9695184247,,1,72.405,72.5425,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",6.016836383,SQQQ,,-6.63491342,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,74.145,72.775,74.533,74.08,72.14846667,72.16251667,-0.01405,2.021677279,72.12332272,25.19642874,12.91636924,45.05067036,41.29883398,3.751836383,9.084606081,BEARISH HANGING MAN,2021-08-31,8,,75.26,74.295,SELL,11,1.375,73.884,2021-09-10 0:00:00,100,SELL,73.884,2021-09-10,3,11,0,0,0,0,2021-09-03 14:08:00+00:00,0,0,0,0,0,0,0,0,0,0,0,-0.5084163518,2.219168671,6.052971228,-1.642047406,1.861475933,-2.390930952,2.219168671,10.23058865,-1.8825146,0,0,0,2021-09-03 19:57:00+00:00,5,0,0,269286e3759b4827ba8fecfefb5f3928
